Country,Index,Category,BEV,PHEV,H2,LPG,CNG,LNG
AT,0,2008,,,,,,
AT,1,2009,0.01,0.0,,,0.13,
AT,2,2010,0.03,0.0,,,0.1,
AT,3,2011,0.18,0.0,,,0.12,
AT,4,2012,0.13,0.08,,,0.14,
AT,5,2013,0.21,0.03,,,0.2,
AT,6,2014,0.44,0.07,0.0,,0.26,
AT,7,2015,0.55,0.32,0.0,0.0,0.23,
AT,8,2016,1.15,0.36,,0.04,0.15,
AT,9,2017,1.53,0.52,0.0,,0.12,
AT,10,2018,1.99,0.62,0.0,,0.19,
AT,11,2019,2.81,0.84,0.01,0.0,0.18,
AT,12,2020,6.41,3.12,0.01,0.0,0.16,
AT,13,2021,13.92,6.1,0.01,0.0,0.03,
AT,14,2022,15.7,6.17,0.01,0.0,0.03,
AT,15,2023,19.91,6.86,0.0,0.0,0.0,
AT,16,2024,17.58,6.67,0.0,0.0,0.0,
AT,17,2025,20.11,8.12,0.0,,,
CH,0,2008,,,,,,
CH,1,2009,0.01,0.0,,,0.46,
CH,2,2010,0.04,0.0,,,0.3,
CH,3,2011,0.13,0.01,,,0.29,
CH,4,2012,0.14,0.12,,,0.15,
CH,5,2013,0.32,0.05,,,0.25,
CH,6,2014,0.48,0.21,,,0.33,
CH,7,2015,1.16,0.67,0.0,0.0,0.31,
CH,8,2016,1.06,0.62,0.01,0.06,0.29,
CH,9,2017,1.54,1.03,0.0,,0.24,
CH,10,2018,1.76,1.33,0.01,0.0,0.26,
CH,11,2019,4.11,1.33,0.01,,0.39,
CH,12,2020,8.15,6.07,0.02,0.0,0.24,
CH,13,2021,13.28,9.15,0.03,0.0,0.11,
CH,14,2022,17.7,8.12,0.03,0.0,0.05,
CH,15,2023,20.83,9.13,0.01,,0.03,
CH,16,2024,19.03,7.89,0.0,,0.01,
CH,17,2025,20.25,9.09,0.0,,0.02,
DK,0,2008,,,,,,
DK,1,2009,0.02,0.0,0.0,,,
DK,2,2010,0.01,0.0,0.0,,,
DK,3,2011,0.24,0.0,0.0,,,
DK,4,2012,0.28,0.02,0.0,,,
DK,5,2013,0.28,0.0,0.01,,,
DK,6,2014,0.83,0.01,0.01,,0.06,
DK,7,2015,2.0,0.06,0.01,,0.03,
DK,8,2016,0.55,0.07,0.01,,0.03,
DK,9,2017,0.32,0.11,0.01,,0.02,
DK,10,2018,0.69,1.46,0.0,,0.0,
DK,11,2019,2.43,1.69,0.0,0.0,0.0,
DK,12,2020,7.16,9.25,0.02,0.0,0.0,
DK,13,2021,13.4,21.82,0.04,0.0,0.0,
DK,14,2022,20.71,17.81,0.0,,,
DK,15,2023,36.24,9.64,0.0,,0.0,
DK,16,2024,51.72,4.09,0.0,,,
DK,17,2025,66.48,2.24,0.0,,,
NL,0,2008,,,,,,
NL,1,2009,0.01,0.0,,,0.2,
NL,2,2010,0.02,0.0,,0.97,0.09,
NL,3,2011,0.15,0.0,,1.42,0.12,
NL,4,2012,0.16,0.86,,1.77,0.22,
NL,5,2013,0.75,4.72,,0.95,0.15,
NL,6,2014,0.84,3.05,,0.31,0.82,
NL,7,2015,0.85,8.72,0.0,0.12,0.17,
NL,8,2016,1.05,4.91,0.0,0.26,0.17,
NL,9,2017,1.92,0.28,0.0,0.31,0.23,
NL,10,2018,5.42,0.64,0.0,0.23,0.24,
NL,11,2019,13.86,1.11,0.04,0.12,0.06,
NL,12,2020,20.43,4.45,0.04,0.58,0.02,
NL,13,2021,19.89,9.59,0.04,0.51,0.01,
NL,14,2022,23.32,10.97,0.03,0.72,0.01,
NL,15,2023,30.52,12.61,0.01,0.64,0.0,
NL,16,2024,34.45,13.71,0.0,0.57,,
NL,17,2025,35.04,16.1,0.0,0.17,,
NO,0,2008,,,,,,
NO,1,2009,0.11,0.0,,,,
NO,2,2010,0.3,0.0,,,,
NO,3,2011,1.45,0.0,,,,
NO,4,2012,3.08,0.25,,,,
NO,5,2013,5.25,0.33,,,,
NO,6,2014,12.0,1.13,,,,
NO,7,2015,16.11,4.95,0.01,0.0,,
NO,8,2016,14.89,12.87,0.01,,0.0,
NO,9,2017,19.58,17.38,0.03,,0.02,
NO,10,2018,29.03,16.71,0.03,,0.04,
NO,11,2019,40.56,12.86,0.02,0.0,0.01,
NO,12,2020,54.27,20.38,0.01,0.0,0.0,
NO,13,2021,64.45,21.65,0.02,0.0,0.0,
NO,14,2022,79.33,9.25,0.02,,,
NO,15,2023,81.88,7.98,0.0,,0.0,
NO,16,2024,88.83,2.72,0.01,,,
NO,17,2025,95.29,1.26,0.0,,,
SE,0,2008,,,,,,
SE,1,2009,0.01,0.0,,,2.47,
SE,2,2010,0.02,0.0,,,2.31,
SE,3,2011,0.06,0.0,,,2.17,
SE,4,2012,0.1,0.23,,,1.94,
SE,5,2013,0.16,0.38,,0.0,1.32,
SE,6,2014,0.42,1.02,,,1.55,
SE,7,2015,0.86,1.49,0.0,,1.41,
SE,8,2016,0.83,2.58,0.0,,0.89,
SE,9,2017,1.12,3.96,0.0,,0.83,
SE,10,2018,1.99,5.85,0.0,,0.89,
SE,11,2019,4.25,6.66,0.0,,1.35,
SE,12,2020,9.55,22.54,0.0,0.0,1.21,
SE,13,2021,19.09,25.86,0.01,,0.46,
SE,14,2022,32.84,23.08,0.0,,0.65,
SE,15,2023,38.42,21.11,0.0,,0.71,
SE,16,2024,34.99,23.28,0.0,,0.42,
SE,17,2025,32.0,24.39,0.0,,0.0,
